IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
158.101.140.154,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,147,8.66
138.2.160.118,443,443,TRUE,FRA,Europe,Frankfurt,170,8.65
131.186.34.11,2053,2053,TRUE,SIN,Asia Pacific,Singapore,208,8.65
141.147.162.204,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,145,8.65
150.230.99.173,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,151,8.65
151.145.71.127,80,80,FALSE,HKG,Asia Pacific,Hong Kong,152,8.65
168.138.200.159,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,145,8.65
131.186.39.42,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,108,8.64
132.145.112.247,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,168,8.63
132.145.113.148,2052,2052,FALSE,SIN,Asia Pacific,Singapore,160,8.63
132.145.117.216,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,144,8.63
150.230.108.135,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,148,8.62
130.61.205.141,443,443,TRUE,FRA,Europe,Frankfurt,189,8.62
150.230.109.138,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,152,8.61
132.145.121.242,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,141,8.6
150.230.221.114,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,144,8.6
132.145.115.17,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,83,8.6
150.230.99.173,2086,2086,FALSE,SIN,Asia Pacific,Singapore,208,8.6
131.186.59.232,80,80,FALSE,HKG,Asia Pacific,Hong Kong,146,8.6
141.147.164.123,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,76,8.59
129.146.247.85,2053,443,TRUE,LAX,North America,Los Angeles,208,8.59
158.101.131.218,2052,2052,FALSE,NRT,Asia Pacific,Tokyo,88,8.59
131.186.37.69,2052,2052,FALSE,NRT,Asia Pacific,Tokyo,76,8.58
131.186.37.69,2082,2082,FALSE,NRT,Asia Pacific,Tokyo,80,8.57
141.147.169.131,2095,2095,FALSE,NRT,Asia Pacific,Tokyo,77,8.56
158.101.149.81,8080,8080,FALSE,SIN,Asia Pacific,Singapore,148,8.56
158.101.146.165,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,159,8.56
144.21.49.107,443,443,TRUE,FRA,Europe,Frankfurt,172,8.56
150.230.105.228,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,134,8.56
168.138.198.202,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,241,8.55
158.101.137.96,80,80,FALSE,NRT,Asia Pacific,Tokyo,80,8.54
131.186.37.191,2087,2087,TRUE,SIN,Asia Pacific,Singapore,177,8.53
141.147.0.245,443,443,TRUE,FRA,Europe,Frankfurt,201,8.53
150.230.201.162,8080,8080,FALSE,LAX,North America,Los Angeles,195,8.53
141.147.107.219,443,443,TRUE,FRA,Europe,Frankfurt,200,8.52
131.186.41.255,80,80,FALSE,HKG,Asia Pacific,Hong Kong,140,8.52
141.147.178.202,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,141,8.52
158.178.156.119,443,443,TRUE,FRA,Europe,Frankfurt,193,8.51
